label,row,column
1,32.38297872,139.5851064
2,32.83739837,190.3577236
3,31.22018349,350.4311927
4,31.22857143,401.7238095
5,30.47222222,562.4537037
6,30.63366337,613.8316832
7,29.75280899,774.1573034
8,29.86904762,825.0952381
9,29.06097561,985.7682927
10,28.8988764,1036.52809
11,80.20930233,137.0813953
12,79.21649485,188.5257732
13,80.44047619,348.5
14,80.34375,400.03125
15,79.54545455,559.959596
16,79.69512195,611.402439
17,79.42424242,771.3434343
18,78.68,822.4266667
19,77.33695652,982.5543478
20,76.84946237,1034.806452
21,129.8421053,144.1578947
22,130.5,185.5
23,118.5,344
25,130,566
27,114,766
29,118.5,993.7692308
