label,row,column
1,32.21518987,139.6329114
2,32.93636364,190.3090909
3,31.35416667,350.3958333
4,31.28888889,401.8888889
5,30.4,562.4421053
6,30.79069767,613.5465116
7,29.97468354,774.0379747
8,29.97222222,825.1944444
9,29.06944444,985.7361111
10,28.82432432,1036.486486
11,80.13513514,137.1621622
12,79.31034483,188.5172414
13,80.35135135,348.3918919
14,80.27906977,399.9651163
15,79.54945055,559.967033
16,79.68493151,611.5068493
17,79.3372093,771.3488372
18,78.44444444,822.5079365
19,77.3125,982.575
20,76.86585366,1034.768293
21,129.7692308,144.2307692
22,130.3333333,185.5555556
25,130,566
29,118.5,992.5
